#db_name, benchmark,map_construction_time,iteration_time0,iteration_time1...
 ekey_rd_s10_e8,pr,1210,15565,15549,15563,15477,15425,15570,15869,15813,15529,15474
ekey_rd_s10_e8,pr,3104,11597432,11676994,11603754,11657672,11707366,11685517,11698166,11599256,11677049,11805498
ekey_rd_s10_e8,pr,1815,66931242,15758,15696,15427,15504,15433,15528,15519,15472,15469
ekey_rd_s10_e8,pr,1187,16091,15711,15766,15803,15561,15991,16997,15570,15905,15851
ekey_rd_s10_e8,pr,1170,10398,9798,8436,9503,9410,8405,8483,8437,8449,8519
ekey_rd_s10_e8,pr,1190,10110,10078,10089,9868,9728,10093,10093,10155,10086,9945
ekey_rd_s10_e8,pr,16,0,0,0,0,0,0,0,0,0,0
ekey_rd_s10_e8,pr,18,0,0,0,0,0,0,0,0,0,0
ekey_rd_s10_e8,pr,1246,34110,34391,33805,30701,31744,31791,31299,31306,31295,31228
ekey_rd_s10_e8,pr,2281,21396,15510,15326,15451,15561,15698,15440,15390,15244,15441
ekey_rd_s10_e8,pr,1147,15938,15712,15585,15480,15658,15465,17091,15546,15527,15382
ekey_rd_s10_e8,pr,1108,15146,15077,15199,15190,15092,15063,15217,15035,14978,15429
ekey_rd_s10_e8,pr,1116,15347,15343,15132,15379,15478,15119,15189,15130,16951,15242
ekey_rd_s10_e8,pr,1128,15627,15439,15639,15490,15713,15540,15646,15400,15337,15590
ekey_rd_s10_e8,pr,1914,20161,19651,19790,19630,19636,23996,27093,21712,28243,21311
ekey_rd_s10_e8,pr,1291,10500,10471,10447,10353,10463,10875,10761,10604,10890,10454
ekey_rd_s10_e8,pr,1134,10484,10508,10714,10653,10503,10595,10604,10611,10424,10478
ekey_rd_s10_e8,pr,1151,10986,10639,10730,10797,10596,10701,10777,10894,10560,10690
ekey_rd_s10_e8,pr,1129,10719,10679,10678,10739,10852,10669,10671,10935,10718,10771
ekey_rd_s10_e8,pr,1143,10330,10244,10413,10575,10442,10380,10427,10273,10333,10484
ekey_rd_s10_e8,pr,1229,10870,10843,11057,10779,10754,10755,11141,10849,10843,11113
ekey_rd_s10_e8,pr,1286,10649,10505,10587,10562,10582,10548,10828,10453,10658,10533
ekey_rd_s10_e8,pr,1113,10394,10325,10424,10524,10340,10166,10374,10685,10594,10782
ekey_rd_s10_e8,pr,1120,10751,10539,10768,10651,10511,10706,10914,10624,10629,10549
ekey_rd_s10_e8,pr,1318,10639,10412,10569,10647,10636,10590,10478,10521,10495,10888
