#db_name, benchmark, cycle_count, cycle_time_usec, trust_count, trust_time_usecs
std_rd_s10_e8,tc,3346,541145,11375,399233
std_rd_s10_e8,tc,3346,500516,11375,591184
std_rd_s10_e8,tc,3346,629491,11375,850345
std_rd_s10_e8,tc,3346,758013,11375,1.0944e+06
std_rd_s10_e8,tc,3346,877493,11375,1.32962e+06
std_rd_s10_e8,tc,3346,999913,11375,1.58125e+06
std_rd_s10_e8,tc,3346,1.1264e+06,11375,1.816e+06
std_rd_s10_e8,tc,3346,1.24721e+06,11375,2.05056e+06
std_rd_s10_e8,tc,3346,1.37146e+06,11375,2.31153e+06
std_rd_s10_e8,tc,3346,1.4937e+06,11375,2.54087e+06
std_rd_s10_e8,tc,3346,1.61887e+06,11375,2.8006e+06
std_rd_s10_e8,tc,3346,1.74055e+06,11375,3.02751e+06
std_rd_s10_e8,tc,3346,1.86637e+06,11375,3.32051e+06
std_rd_s10_e8,tc,3346,1.98535e+06,11375,3.58917e+06
std_rd_s10_e8,tc,3346,2.11221e+06,11375,3.82078e+06
std_rd_s10_e8,tc,3346,2.23506e+06,11375,4.08776e+06
std_rd_s10_e8,tc,3346,426232,11375,517198
std_rd_s10_e8,tc,3346,498639,11375,586131
std_rd_s10_e8,tc,3346,630390,11375,830036
std_rd_s10_e8,tc,3346,754596,11375,1.07274e+06
std_rd_s10_e8,tc,3346,877853,11375,1.31481e+06
std_rd_s10_e8,tc,3346,1.0004e+06,11375,1.54848e+06
std_rd_s10_e8,tc,3346,1.12161e+06,11375,1.76732e+06
std_rd_s10_e8,tc,3346,1.24679e+06,11375,2.01432e+06
std_rd_s10_e8,tc,3346,1.37162e+06,11375,2.23971e+06
std_rd_s10_e8,tc,3346,1.49321e+06,11375,2.47609e+06
std_rd_s10_e8,tc,3346,1.61433e+06,11375,2.71108e+06
std_rd_s10_e8,tc,3346,1.73955e+06,11375,2.96237e+06
std_rd_s10_e8,tc,3346,1.86241e+06,11375,3.19918e+06
std_rd_s10_e8,tc,3346,1.98327e+06,11375,3.41481e+06
std_rd_s10_e8,tc,3346,2.10503e+06,11375,3.64303e+06
std_rd_s10_e8,tc,3346,2.23e+06,11375,3.89669e+06
std_rd_s10_e8,tc,3346,467300,11375,459028
std_rd_s10_e8,tc,3346,498811,11375,579171
std_rd_s10_e8,tc,3346,626933,11375,826522
std_rd_s10_e8,tc,3346,752191,11375,1.06353e+06
std_rd_s10_e8,tc,3346,873613,11375,1.29564e+06
std_rd_s10_e8,tc,3346,994653,11375,1.5333e+06
std_rd_s10_e8,tc,3346,1.11756e+06,11375,1.7616e+06
std_rd_s10_e8,tc,3346,1.24283e+06,11375,2.00382e+06
std_rd_s10_e8,tc,3346,1.36678e+06,11375,2.23522e+06
std_rd_s10_e8,tc,3346,1.49186e+06,11375,2.45584e+06
std_rd_s10_e8,tc,3346,1.61649e+06,11375,2.69035e+06
std_rd_s10_e8,tc,3346,1.73601e+06,11375,2.93531e+06
std_rd_s10_e8,tc,3346,1.85838e+06,11375,3.16321e+06
std_rd_s10_e8,tc,3346,1.98236e+06,11375,3.38686e+06
std_rd_s10_e8,tc,3346,2.10455e+06,11375,3.63844e+06
std_rd_s10_e8,tc,3346,2.22775e+06,11375,3.8703e+06
std_rd_s10_e8,tc,3346,363202,11375,321750
std_rd_s10_e8,tc,3346,499477,11375,579136
std_rd_s10_e8,tc,3346,629772,11375,831459
std_rd_s10_e8,tc,3346,753915,11375,1.06297e+06
std_rd_s10_e8,tc,3346,875468,11375,1.30528e+06
std_rd_s10_e8,tc,3346,998612,11375,1.53707e+06
std_rd_s10_e8,tc,3346,1.12105e+06,11375,1.77808e+06
std_rd_s10_e8,tc,3346,1.24745e+06,11375,2.00411e+06
std_rd_s10_e8,tc,3346,1.37043e+06,11375,2.23083e+06
std_rd_s10_e8,tc,3346,1.49336e+06,11375,2.47458e+06
std_rd_s10_e8,tc,3346,1.61662e+06,11375,2.71521e+06
std_rd_s10_e8,tc,3346,1.73811e+06,11375,2.94904e+06
std_rd_s10_e8,tc,3346,1.8624e+06,11375,3.18336e+06
std_rd_s10_e8,tc,3346,1.98741e+06,11375,3.41927e+06
std_rd_s10_e8,tc,3346,2.11104e+06,11375,3.66516e+06
std_rd_s10_e8,tc,3346,2.23225e+06,11375,3.88365e+06
std_rd_s10_e8,tc,3346,360806,11375,328308
std_rd_s10_e8,tc,3346,499596,11375,585616
std_rd_s10_e8,tc,3346,628878,11375,833759
std_rd_s10_e8,tc,3346,751256,11375,1.07893e+06
std_rd_s10_e8,tc,3346,874559,11375,1.32281e+06
std_rd_s10_e8,tc,3346,998270,11375,1.55596e+06
std_rd_s10_e8,tc,3346,1.12074e+06,11375,1.79601e+06
std_rd_s10_e8,tc,3346,1.24346e+06,11375,2.04249e+06
std_rd_s10_e8,tc,3346,1.36868e+06,11375,2.277e+06
std_rd_s10_e8,tc,3346,1.49386e+06,11375,2.50049e+06
std_rd_s10_e8,tc,3346,1.6172e+06,11375,2.75833e+06
std_rd_s10_e8,tc,3346,1.74157e+06,11375,2.98858e+06
std_rd_s10_e8,tc,3346,1.86206e+06,11375,3.24344e+06
std_rd_s10_e8,tc,3346,1.9853e+06,11375,3.46772e+06
std_rd_s10_e8,tc,3346,2.10285e+06,11375,3.68344e+06
std_rd_s10_e8,tc,3346,2.23113e+06,11375,3.88247e+06
std_rd_s10_e8,tc,3346,361818,11375,323428
std_rd_s10_e8,tc,3346,501746,11375,575832
std_rd_s10_e8,tc,3346,630157,11375,824223
std_rd_s10_e8,tc,3346,782505,11375,1.31573e+06
std_rd_s10_e8,tc,3346,876982,11375,1.5267e+06
std_rd_s10_e8,tc,3346,998435,11375,1.53306e+06
std_rd_s10_e8,tc,3346,1.12025e+06,11375,1.76537e+06
std_rd_s10_e8,tc,3346,1.24488e+06,11375,2.02739e+06
std_rd_s10_e8,tc,3346,1.36894e+06,11375,2.24869e+06
std_rd_s10_e8,tc,3346,1.49068e+06,11375,2.47728e+06
std_rd_s10_e8,tc,3346,1.61407e+06,11375,2.7159e+06
std_rd_s10_e8,tc,3346,1.73791e+06,11375,2.95072e+06
std_rd_s10_e8,tc,3346,1.86119e+06,11375,3.16823e+06
std_rd_s10_e8,tc,3346,2.00687e+06,11375,3.40123e+06
std_rd_s10_e8,tc,3346,2.10674e+06,11375,3.63862e+06
std_rd_s10_e8,tc,3346,2.23651e+06,11375,3.87804e+06
std_rd_s10_e8,tc,3346,365382,11375,328666
std_rd_s10_e8,tc,3346,505056,11375,595576
std_rd_s10_e8,tc,3346,632233,11375,854977
std_rd_s10_e8,tc,3346,755491,11375,1.09808e+06
std_rd_s10_e8,tc,3346,881789,11375,1.34997e+06
std_rd_s10_e8,tc,3346,1.00395e+06,11375,1.58295e+06
std_rd_s10_e8,tc,3346,1.12364e+06,11375,1.8354e+06
std_rd_s10_e8,tc,3346,1.24738e+06,11375,2.08113e+06
std_rd_s10_e8,tc,3346,1.37342e+06,11375,2.33697e+06
std_rd_s10_e8,tc,3346,1.49507e+06,11375,2.55827e+06
std_rd_s10_e8,tc,3346,1.61746e+06,11375,2.80581e+06
std_rd_s10_e8,tc,3346,1.9839e+06,11375,3.07405e+06
std_rd_s10_e8,tc,3346,1.86401e+06,11375,3.26933e+06
std_rd_s10_e8,tc,3346,1.9877e+06,11375,3.52962e+06
std_rd_s10_e8,tc,3346,2.10995e+06,11375,3.73061e+06
std_rd_s10_e8,tc,3346,2.23346e+06,11375,3.97027e+06
std_rd_s10_e8,tc,3346,365295,11375,327439
std_rd_s10_e8,tc,3346,504826,11375,589173
std_rd_s10_e8,tc,3346,632932,11375,842713
std_rd_s10_e8,tc,3346,759797,11375,1.34263e+06
std_rd_s10_e8,tc,3346,883516,11375,1.33063e+06
std_rd_s10_e8,tc,3346,1.00754e+06,11375,1.56796e+06
std_rd_s10_e8,tc,3346,1.12711e+06,11375,1.82609e+06
std_rd_s10_e8,tc,3346,1.24948e+06,11375,2.06955e+06
std_rd_s10_e8,tc,3346,1.37733e+06,11375,2.30823e+06
std_rd_s10_e8,tc,3346,1.49688e+06,11375,2.56777e+06
std_rd_s10_e8,tc,3346,1.62682e+06,11375,2.76931e+06
std_rd_s10_e8,tc,3346,1.74797e+06,11375,3.02542e+06
std_rd_s10_e8,tc,3346,1.8711e+06,11375,3.26514e+06
std_rd_s10_e8,tc,3346,1.99339e+06,11375,3.51425e+06
std_rd_s10_e8,tc,3346,2.11725e+06,11375,3.72405e+06
std_rd_s10_e8,tc,3346,2.23685e+06,11375,3.95683e+06
std_rd_s10_e8,tc,3346,185921,11369,287771
std_rd_s10_e8,tc,3346,281338,11369,475818
std_rd_s10_e8,tc,3346,374654,11369,662565
std_rd_s10_e8,tc,3346,462363,11369,835435
std_rd_s10_e8,tc,3346,547107,11369,1.0107e+06
std_rd_s10_e8,tc,3346,634988,11369,1.18517e+06
std_rd_s10_e8,tc,3346,724641,11369,1.35163e+06
std_rd_s10_e8,tc,3346,812057,11369,1.52457e+06
std_rd_s10_e8,tc,3346,895732,11369,1.69662e+06
std_rd_s10_e8,tc,3346,985422,11369,1.87349e+06
std_rd_s10_e8,tc,3346,1.06789e+06,11369,2.04069e+06
std_rd_s10_e8,tc,3346,1.15756e+06,11369,2.20969e+06
std_rd_s10_e8,tc,3346,1.24569e+06,11369,2.37449e+06
std_rd_s10_e8,tc,3346,1.32899e+06,11369,2.54987e+06
std_rd_s10_e8,tc,3346,1.41662e+06,11369,2.7227e+06
std_rd_s10_e8,tc,3346,1.50514e+06,11369,2.89151e+06
std_rd_s10_e8,tc,3346,329731,11369,403580
std_rd_s10_e8,tc,3346,283973,11369,479436
std_rd_s10_e8,tc,3346,375968,11369,667169
std_rd_s10_e8,tc,3346,463507,11369,841573
std_rd_s10_e8,tc,3346,553749,11369,1.01318e+06
std_rd_s10_e8,tc,3346,643811,11369,1.18551e+06
std_rd_s10_e8,tc,3346,729146,11369,1.3541e+06
std_rd_s10_e8,tc,3346,813498,11369,1.52752e+06
std_rd_s10_e8,tc,3346,900423,11369,1.70155e+06
std_rd_s10_e8,tc,3346,995376,11369,1.8743e+06
std_rd_s10_e8,tc,3346,1.07482e+06,11369,2.04426e+06
std_rd_s10_e8,tc,3346,1.16046e+06,11369,2.21621e+06
std_rd_s10_e8,tc,3346,1.25266e+06,11369,2.39095e+06
std_rd_s10_e8,tc,3346,1.35736e+06,11369,2.55644e+06
std_rd_s10_e8,tc,3346,1.42589e+06,11369,2.72825e+06
std_rd_s10_e8,tc,3346,1.52034e+06,11369,2.90931e+06
std_rd_s10_e8,tc,3346,188207,11369,293504
std_rd_s10_e8,tc,3346,287198,11369,483048
std_rd_s10_e8,tc,3346,377927,11369,667832
std_rd_s10_e8,tc,3346,468033,11369,845736
std_rd_s10_e8,tc,3346,554558,11369,1.01963e+06
std_rd_s10_e8,tc,3346,639539,11369,1.19417e+06
std_rd_s10_e8,tc,3346,730542,11369,1.36373e+06
std_rd_s10_e8,tc,3346,817541,11369,1.53087e+06
std_rd_s10_e8,tc,3346,906306,11369,1.70388e+06
std_rd_s10_e8,tc,3346,988165,11369,1.88741e+06
std_rd_s10_e8,tc,3346,1.08501e+06,11369,2.05557e+06
std_rd_s10_e8,tc,3346,1.16724e+06,11369,2.22699e+06
std_rd_s10_e8,tc,3346,1.26231e+06,11369,2.39288e+06
std_rd_s10_e8,tc,3346,1.347e+06,11369,2.58376e+06
std_rd_s10_e8,tc,3346,1.43138e+06,11369,2.74569e+06
std_rd_s10_e8,tc,3346,1.52699e+06,11369,2.9182e+06
